target,model,horizon,mae,rmse,nmae_pct,nrmse_pct,bias,r2,max_error,skill_score,skill_vs_persistence,skill_vs_ridge,rmse_excl_capacity_zero,n_samples,n_at_capacity,n_zero_power
farm_total_power_target_6hour,lightgbm,6hour,3873.3713,4945.633,14.6719,18.7335,198.3664,0.4797,19025.7605,0.3911,0.3911,0.0196,5133.8919,22465,0,3687
farm_total_power_target_24hour,xgboost,24hour,4669.0445,5791.9196,17.6858,21.9391,560.1893,0.2863,20838.0703,0.1264,0.1264,-0.0499,5711.5271,22465,0,4352
farm_total_power_target_24hour,lightgbm,24hour,4682.8214,5789.0727,17.738,21.9283,545.7047,0.287,20019.4128,0.1268,0.1268,-0.0494,5726.5399,22465,0,4352
TB01_power_target_10min,persistence,10min,93.4676,154.7073,4.2485,7.0322,0.1131,0.9391,1871.3,0.0,0.0,-0.0752,,22463,0,3904
TB01_power_target_10min,ridge,10min,91.7712,143.8879,4.1714,6.5404,-4.1128,0.9473,1593.9838,0.0699,0.0699,0.0,,22464,0,3905
TB01_power_target_1hour,persistence,1hour,220.8025,348.3566,10.0365,15.8344,1.7967,0.6906,2000.3,0.0,0.0,-0.1195,,22463,0,3911
TB01_power_target_1hour,ridge,1hour,217.9279,311.1963,9.9058,14.1453,-10.4537,0.753,1868.5752,0.1067,0.1067,0.0,,22465,0,3911
TB01_power_target_24hour,persistence,24hour,415.7731,600.5362,18.8988,27.2971,-7.0706,0.0738,2001.1,0.0,0.0,-0.1867,,21562,0,3765
TB01_power_target_24hour,ridge,24hour,393.7647,506.0429,17.8984,23.002,-16.0639,0.3423,2025.2071,0.1573,0.1573,0.0,,21564,0,3765
TB01_power_target_30min,persistence,30min,160.8935,261.565,7.3133,11.8893,0.8811,0.8257,2000.0,0.0,0.0,-0.0868,,22463,0,3908
TB01_power_target_30min,ridge,30min,161.0631,240.674,7.321,10.9397,-7.5894,0.8524,1809.5486,0.0799,0.0799,0.0,,22465,0,3908
TB01_power_target_6hour,persistence,6hour,540.8138,743.6062,24.5824,33.8003,-0.7187,-0.4208,2001.1,0.0,0.0,-0.588,,22304,0,3843
TB01_power_target_6hour,ridge,6hour,366.5244,468.2715,16.6602,21.2851,-4.7758,0.4365,2205.1181,0.3703,0.3703,0.0,,22306,0,3843
TB02_power_target_10min,persistence,10min,92.4996,155.668,4.2045,7.0758,0.1776,0.939,1685.1,0.0,0.0,-0.0816,,22427,0,4058
TB02_power_target_10min,ridge,10min,90.5867,143.9218,4.1176,6.5419,-7.6855,0.9479,1639.1861,0.0755,0.0755,0.0,,22429,0,4060
TB02_power_target_1hour,persistence,1hour,215.1385,346.3385,9.779,15.7427,1.2693,0.698,1996.5,0.0,0.0,-0.132,,22427,0,4065
TB02_power_target_1hour,ridge,1hour,211.4459,305.9511,9.6112,13.9069,-19.4986,0.7643,1992.0215,0.1166,0.1166,0.0,,22436,0,4067
TB02_power_target_24hour,persistence,24hour,401.3098,595.2625,18.2414,27.0574,-10.2787,0.1055,2001.7,0.0,0.0,-0.2056,,21493,0,3846
TB02_power_target_24hour,ridge,24hour,381.6631,493.5975,17.3483,22.4362,-14.587,0.3849,1850.1762,0.1705,0.1705,0.0,,21531,0,3865
TB02_power_target_30min,persistence,30min,157.7218,261.5222,7.1692,11.8874,0.8414,0.8278,1996.5,0.0,0.0,-0.0907,,22427,0,4061
TB02_power_target_30min,ridge,30min,158.4744,239.747,7.2034,10.8976,-13.4456,0.8553,1807.6608,0.0832,0.0832,0.0,,22433,0,4065
TB02_power_target_6hour,persistence,6hour,540.4591,751.791,24.5663,34.1723,-1.1818,-0.4315,2002.2,0.0,0.0,-0.6251,,22243,0,3973
TB02_power_target_6hour,ridge,6hour,361.4383,463.1866,16.429,21.0539,-8.2771,0.4566,1950.6188,0.3846,0.3846,0.0,,22281,0,3977
TB03_power_target_10min,persistence,10min,94.4812,159.6418,4.2946,7.2564,0.1654,0.9313,1955.3,0.0,0.0,-0.0677,,22465,0,4005
TB03_power_target_10min,ridge,10min,94.0473,149.5222,4.2749,6.7965,0.4437,0.9397,1673.0851,0.0634,0.0634,0.0,,22465,0,4005
TB03_power_target_1hour,persistence,1hour,223.5459,357.6476,10.1612,16.2567,1.0775,0.6551,2001.0,0.0,0.0,-0.1009,,22465,0,4015
TB03_power_target_1hour,ridge,1hour,221.648,324.8658,10.0749,14.7666,6.4182,0.7154,3686.947,0.0917,0.0917,0.0,,22465,0,4015
TB03_power_target_24hour,persistence,24hour,409.458,595.993,18.6117,27.0906,-13.0081,0.0436,2001.0,0.0,0.0,-0.2091,,21565,0,3868
TB03_power_target_24hour,ridge,24hour,385.8832,492.935,17.5401,22.4061,-7.9057,0.3458,2517.6262,0.1729,0.1729,0.0,,21565,0,3868
TB03_power_target_30min,persistence,30min,162.7808,268.384,7.3991,12.1993,0.4514,0.8057,2000.6,0.0,0.0,-0.0678,,22465,0,4009
TB03_power_target_30min,ridge,30min,165.5335,251.3461,7.5243,11.4248,3.9121,0.8296,2129.0551,0.0635,0.0635,0.0,,22465,0,4009
TB03_power_target_6hour,persistence,6hour,516.474,715.3559,23.4761,32.5162,-3.0223,-0.3815,2001.0,0.0,0.0,-0.4815,,22307,0,3938
TB03_power_target_6hour,ridge,6hour,371.3923,482.8613,16.8815,21.9482,28.3762,0.3705,3122.573,0.325,0.325,0.0,,22307,0,3938
TB04_power_target_10min,persistence,10min,92.5505,155.1216,4.2068,7.051,0.2218,0.9421,1471.2,0.0,0.0,-0.0652,,22465,0,3987
TB04_power_target_10min,ridge,10min,91.319,145.6283,4.1509,6.6195,-1.0061,0.9489,1286.7127,0.0612,0.0612,0.0,,22465,0,3987
TB04_power_target_1hour,persistence,1hour,217.2387,347.0069,9.8745,15.773,1.7563,0.7097,2000.2,0.0,0.0,-0.1357,,22465,0,3989
TB04_power_target_1hour,ridge,1hour,212.7366,305.5398,9.6698,13.8882,-6.2231,0.7749,1943.2755,0.1195,0.1195,0.0,,22465,0,3989
TB04_power_target_24hour,persistence,24hour,399.2579,591.291,18.1481,26.8769,-2.3491,0.1516,2000.5,0.0,0.0,-0.19,,21566,0,3808
TB04_power_target_24hour,ridge,24hour,384.8599,496.8676,17.4936,22.5849,-8.4841,0.4009,1883.7964,0.1597,0.1597,0.0,,21566,0,3808
TB04_power_target_30min,persistence,30min,158.2269,260.3932,7.1921,11.8361,0.9373,0.8367,1996.5,0.0,0.0,-0.0955,,22465,0,3985
TB04_power_target_30min,ridge,30min,157.5188,237.6915,7.1599,10.8042,-3.8216,0.8639,1831.0377,0.0872,0.0872,0.0,,22465,0,3985
