fold,model,target,mae,rmse,r2,n_val
3,xgboost,TB09_power_target_24hour,463.9621,586.0466,0.1987,44078
3,lightgbm,TB09_power_target_24hour,454.4637,578.4148,0.2195,44078
1,xgboost,TB10_power_target_10min,99.5986,155.6278,0.9292,46073
1,lightgbm,TB10_power_target_10min,98.4965,154.7063,0.9301,46073
2,xgboost,TB10_power_target_10min,97.1634,149.7476,0.9309,43789
2,lightgbm,TB10_power_target_10min,94.1339,147.1982,0.9332,43789
3,xgboost,TB10_power_target_10min,106.2494,154.8883,0.9345,36096
3,lightgbm,TB10_power_target_10min,98.636,149.5915,0.9389,36096
1,xgboost,TB10_power_target_30min,178.1919,253.9395,0.8117,46072
1,lightgbm,TB10_power_target_30min,167.8417,248.2985,0.82,46072
2,xgboost,TB10_power_target_30min,168.0739,242.1091,0.8194,43782
2,lightgbm,TB10_power_target_30min,162.3276,237.9177,0.8256,43782
3,xgboost,TB10_power_target_30min,169.9271,246.882,0.8334,36093
3,lightgbm,TB10_power_target_30min,170.111,246.3285,0.8342,36093
1,xgboost,TB10_power_target_1hour,254.5487,340.4743,0.6616,46064
1,lightgbm,TB10_power_target_1hour,223.8785,312.4594,0.715,46064
2,xgboost,TB10_power_target_1hour,221.5879,305.0486,0.7134,43767
2,lightgbm,TB10_power_target_1hour,209.6556,297.8124,0.7268,43767
3,xgboost,TB10_power_target_1hour,228.1544,319.2694,0.7213,36084
3,lightgbm,TB10_power_target_1hour,226.3641,318.0235,0.7235,36084
1,xgboost,TB10_power_target_6hour,364.026,465.805,0.3681,46046
1,lightgbm,TB10_power_target_6hour,351.878,455.6783,0.3953,46046
2,xgboost,TB10_power_target_6hour,328.7223,432.5545,0.4241,43734
2,lightgbm,TB10_power_target_6hour,322.8382,428.4046,0.4351,43734
3,xgboost,TB10_power_target_6hour,349.5052,454.3772,0.4345,36054
3,lightgbm,TB10_power_target_6hour,336.3739,445.1915,0.4572,36054
1,xgboost,TB10_power_target_24hour,425.0726,540.0477,0.1502,46034
1,lightgbm,TB10_power_target_24hour,415.2663,531.4331,0.1771,46034
2,xgboost,TB10_power_target_24hour,423.1169,518.8247,0.1689,43739
2,lightgbm,TB10_power_target_24hour,411.2451,508.8017,0.2007,43739
3,xgboost,TB10_power_target_24hour,426.7417,535.1321,0.194,36039
3,lightgbm,TB10_power_target_24hour,423.0652,534.1007,0.1971,36039
1,xgboost,TB11_power_target_10min,106.5744,167.7615,0.9238,46069
1,lightgbm,TB11_power_target_10min,104.9914,166.1246,0.9253,46069
2,xgboost,TB11_power_target_10min,106.9061,162.3902,0.9254,43799
2,lightgbm,TB11_power_target_10min,101.5533,158.7475,0.9287,43799
3,xgboost,TB11_power_target_10min,103.3551,161.2991,0.9352,36095
3,lightgbm,TB11_power_target_10min,101.919,159.7447,0.9364,36095
1,xgboost,TB11_power_target_30min,195.4987,276.6542,0.7929,46063
1,lightgbm,TB11_power_target_30min,183.6552,267.3088,0.8067,46063
2,xgboost,TB11_power_target_30min,176.9227,259.5323,0.8094,43795
2,lightgbm,TB11_power_target_30min,177.7661,258.3778,0.8111,43795
3,xgboost,TB11_power_target_30min,186.0485,267.6698,0.8214,36090
3,lightgbm,TB11_power_target_30min,183.2604,266.3806,0.8232,36090
1,xgboost,TB11_power_target_1hour,252.5498,342.8078,0.6821,46040
1,lightgbm,TB11_power_target_1hour,243.3116,335.471,0.6956,46040
2,xgboost,TB11_power_target_1hour,249.9088,334.8807,0.6826,43783
2,lightgbm,TB11_power_target_1hour,229.5754,321.425,0.7076,43783
3,xgboost,TB11_power_target_1hour,258.8702,350.2499,0.6941,36078
3,lightgbm,TB11_power_target_1hour,241.9594,340.8922,0.7102,36078
1,xgboost,TB11_power_target_6hour,394.6257,498.1832,0.3297,45965
1,lightgbm,TB11_power_target_6hour,384.944,490.5051,0.3502,45965
2,xgboost,TB11_power_target_6hour,358.8219,462.6255,0.3941,43758
2,lightgbm,TB11_power_target_6hour,350.2894,457.2603,0.408,43758
3,xgboost,TB11_power_target_6hour,385.1869,491.6829,0.3957,36045
3,lightgbm,TB11_power_target_6hour,371.1348,483.3977,0.4159,36045
1,xgboost,TB11_power_target_24hour,455.5282,562.6757,0.1454,45876
1,lightgbm,TB11_power_target_24hour,442.2247,552.2314,0.1768,45876
2,xgboost,TB11_power_target_24hour,439.5053,539.2804,0.1713,45636
2,lightgbm,TB11_power_target_24hour,436.0075,534.1722,0.1869,45636
3,xgboost,TB11_power_target_24hour,463.6396,572.2477,0.186,44288
