timestamp_issue,timestamp_target,turbine_id,horizon_min,y_pred,y_low,y_high,model_version,forecast_quality
2026-01-17,2026-01-17,TB07,360,328.77,0.0,1071.89,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB07,1440,472.4,8.81,1327.93,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB07,1440,498.35,4.2,1353.35,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB08,10,276.56,155.23,501.85,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB08,10,276.31,155.27,500.8,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB08,30,291.42,98.11,666.38,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB08,30,293.26,96.18,672.42,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB08,60,307.5,60.79,805.95,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB08,60,336.14,59.79,836.29,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB08,360,584.81,34.2,1364.4,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB08,360,549.85,43.96,1318.91,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB08,1440,467.61,0.72,1352.94,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB08,1440,552.21,7.48,1408.9,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB09,10,397.48,273.2,617.7,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB09,10,401.74,275.73,624.36,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB09,30,390.03,183.91,769.84,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB09,30,407.01,188.83,783.12,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB09,60,382.11,115.68,888.95,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB09,60,384.37,110.98,899.35,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB09,360,319.07,2.74,1038.76,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB09,360,430.21,13.43,1148.73,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB09,1440,495.59,13.09,1368.47,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB09,1440,553.08,24.96,1406.46,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB10,10,211.96,90.95,433.11,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB10,10,209.38,89.89,430.07,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB10,30,242.42,52.56,601.03,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB10,30,239.68,49.9,601.97,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB10,60,266.96,23.97,753.05,2.0.0_lightgbm,production
2026-01-17,2026-01-17,TB10,60,301.17,25.04,783.14,2.0.0_xgboost,production
2026-01-17,2026-01-17,TB10,360,386.44,0.97,1116.67,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB10,360,490.45,4.17,1219.27,2.0.0_xgboost,reference_only
2026-01-17,2026-01-17,TB10,1440,453.12,2.37,1299.5,2.0.0_lightgbm,reference_only
2026-01-17,2026-01-17,TB10,1440,490.88,1.51,1316.56,2.0.0_xgboost,reference_only
